OSM_ID,NAME 1
-1123300,Адмиралтейский
-359076,Александровская
-1187395,Аптекарский остров
-1116470,Белоостров
-1198057,Владимирский
-1198055,Дворцовый
-1119502,Зеленогорск
-369087,Ивановский
-337423,Колпино
-1117563,Комарово
-363092,Красное Село
-1185387,Кронштадт
-1181028,Левашово
-1205244,Лисий Нос
-1198058,Литейный
-367378,Ломоносов
-337850,Металлострой
-1120126,Молодёжное
-1185367,Нарвский
-369516,Невский
-1186630,Новоизмайловское
-369085,Обуховский
-1124718,Округ Морской
-359180,Павловск
-1181031,Парголово
-1116469,Песочный
-367377,Петергоф
-1187396,Петровский
-337852,Петро-Славянка
-337425,Понтонный
-359179,Пушкин
-1117550,Репино
-337426,Сапёрный
-1121516,Сенной
-1120125,Серово
-1115677,Сестрорецк
-1120127,Смолячково
-1117451,Солнечное
-367376,Стрельна
-359178,Тярлево
-337851,Усть-Ижора
-1119500,Ушково
-1181903,Финляндский
-356826,Шушары
-363610,Южно-Приморский
-1124719,Васильевский
-1124722,№ 7
-363095,Горелово
-363613,Константиновское
-1205319,Лахта-Ольгино
-363612,Урицк
-363611,Сосновая поляна
-1205339,Коломяги
-1184646,Автово
-1185365,Морские ворота
-1198680,№ 65
-1184644,Ульянка
-1124723,Остров Декабристов
-1205337,Юнтолово
-1124720,Гавань
-363614,Юго-Запад
-1184645,Дачное
-1187265,Пулковский меридиан
-1185366,Красненькая речка
-1187394,Введенский
-1187392,Чкаловское
-1198679,Озеро Долгое
-1181946,Княжево
-1123297,Екатерингофский
-1187391,Посадский
-1201772,Чёрная речка
-1121517,Коломна
-1181032,Шувалово-Озерки
-1198683,Комендантский аэродром
-1123299,Семёновский
-1123298,Измайловское
-339228,Московская застава
-1187393,Кронверкское
-1181029,Сосновское
-1180979,Светлановское
-1198059,№ 78
-1187186,Звёздное
-1138534,Сампсониевское
-1181033,Парнас
-1197806,Волковское
-1185394,Гагаринское
-368288,Невская застава
-1197810,Георгиевский
-1181901,Прометей
-1181900,Пискарёвка
-1181030,№ 15
-1198056,Лиговка-Ямская
-1197807,Купчино
-1198054,Смольнинское
-1181047,Гражданка
-1181902,Академическое
-1181904,Северный
-1197809,Балканский
-1197811,№ 72
-1185381,Малая Охта
-1197808,№ 75
-1185383,Большая Охта
-369515,Правобережный
-1181905,№ 21
-1185380,Полюстрово
-1185384,Пороховые
-369084,№ 54
-369083,Народный
-1185382,Ржевка
-369086,Рыбацкое
-369517,Оккервиль
